task,condition,n,collapse_count,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,dominant_rate_mean,dominant_rate_std,entropy_mean,entropy_std
medmcqa,qwen05b_base,1,1,,0.317,0.0,0.1672272894314056,0.0,0.884,0.0,0.2702990997035727,0.0
medmcqa,qwen05b_full45k,3,0,42 43 44,0.414,0.028618176042508364,0.39734504848091856,0.029706672498691123,0.392,0.034641016151377546,0.9446634124210747,0.011429346813574883
medmcqa,qwen15b_base,1,0,,0.436,0.0,0.4252392396482467,0.0,0.306,0.0,0.9837755417942474,0.0
medmcqa,qwen15b_full45k,3,0,42 43 44,0.539,0.011532562594670805,0.5281889758154208,0.011235010624424373,0.36966666666666664,0.008082903768654767,0.967926259712349,0.0031119236451824426
medmcqa,qwen3b_base,1,0,,0.49,0.0,0.48508201783650906,0.0,0.291,0.0,0.9837381666079528,0.0
medmcqa,qwen3b_full45k,3,0,42 43 44,0.5833333333333333,0.0025166114784235852,0.5761786102569569,0.0013000321943684849,0.351,0.007211102550927985,0.9722794192145852,0.0040483913602125865
medqa,qwen05b_base,1,1,,0.2875098193244305,0.0,0.17116915747757375,0.0,0.8334642576590731,0.0,0.35560809696468115,0.0
medqa,qwen05b_full45k,3,0,42 43 44,0.38884524744697563,0.022888927390940252,0.38053632825628314,0.024422839256621236,0.32312123592563496,0.03048822491765802,0.9802976250245542,0.004428246623699213
medqa,qwen15b_base,1,0,,0.46975648075412413,0.0,0.4672944839070959,0.0,0.3110761979575805,0.0,0.9923547059912341,0.0
medqa,qwen15b_full45k,3,0,42 43 44,0.5349567949725059,0.010272346292711699,0.5311009039178003,0.010161340089580041,0.2783451165226499,0.004735046169160823,0.993477507522636,0.002013787760337276
medqa,qwen3b_base,1,0,,0.4964650432050275,0.0,0.4955535304608325,0.0,0.2741555380989788,0.0,0.9981466171354908,0.0
medqa,qwen3b_full45k,3,0,42 43 44,0.565593087195601,0.002078359238856714,0.562268143135826,0.002394925891413058,0.27991620843152654,0.0046028792435839115,0.9951392633291467,0.0015938613233561433
pubmedqa,qwen05b_base,1,1,,0.21,0.0,0.1741051701281485,0.0,0.83,0.0,0.4149655139758603,0.0
pubmedqa,qwen05b_full45k,3,0,42 43 44,0.65,0.04582575694955838,0.49780089188830173,0.06262289032486308,0.6366666666666667,0.020816659994661348,0.766071769834142,0.059453427210492675
pubmedqa,qwen15b_base,1,1,,0.62,0.0,0.40582419944122067,0.0,0.85,0.0,0.4716734178155153,0.0
pubmedqa,qwen15b_full45k,3,0,42 43 44,0.69,0.009999999999999953,0.58423628571205,0.04016809185533312,0.5433333333333333,0.04041451884327379,0.8972758153317579,0.040138919265001974
pubmedqa,qwen3b_base,1,1,,0.23,0.0,0.24536815841163664,0.0,0.81,0.0,0.5563963452803198,0.0
pubmedqa,qwen3b_full45k,3,0,42 43 44,0.6433333333333333,0.03055050463303896,0.5708981311991208,0.044986722572124216,0.48333333333333334,0.02516611478423583,0.9474511169020524,0.021312463177210555
