file,samples,valid_samples,parse_failures,accuracy,macro_f1,labels,gold_counts,pred_counts,dominant_label,dominant_rate,prediction_entropy_norm,missing_pred_labels,collapse_flag,confusion
runs\pubmedqa_qwen05b_base_test100.jsonl,100,100,0,0.21,0.1741051701281485,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 83, ""yes"": 17}",maybe,0.83,0.4149655139758603,no,True,"{""maybe"": {""maybe"": 9, ""yes"": 1}, ""no"": {""maybe"": 30, ""yes"": 4}, ""yes"": {""maybe"": 44, ""yes"": 12}}"
runs\qwen05b_base_medmcqa_val1000.jsonl,1000,1000,0,0.317,0.1672272894314056,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 884, ""B"": 1, ""C"": 2, ""D"": 113}",A,0.884,0.2702990997035727,,True,"{""A"": {""A"": 289, ""D"": 34}, ""B"": {""A"": 243, ""B"": 1, ""D"": 23}, ""C"": {""A"": 186, ""C"": 2, ""D"": 31}, ""D"": {""A"": 166, ""D"": 25}}"
runs\qwen05b_base_medqa_test1273.jsonl,1273,1273,0,0.2875098193244305,0.17116915747757375,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 1061, ""B"": 5, ""C"": 7, ""D"": 200}",A,0.8334642576590731,0.35560809696468115,,True,"{""A"": {""A"": 311, ""B"": 3, ""C"": 1, ""D"": 38}, ""B"": {""A"": 258, ""B"": 2, ""C"": 2, ""D"": 47}, ""C"": {""A"": 278, ""C"": 3, ""D"": 65}, ""D"": {""A"": 214, ""C"": 1, ""D"": 50}}"
runs\qwen05b_full45k_seed42_pubmedqa_test100.jsonl,100,100,0,0.64,0.4418423106947697,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 5, ""no"": 29, ""yes"": 66}",yes,0.66,0.7127267535684876,,False,"{""maybe"": {""no"": 3, ""yes"": 7}, ""no"": {""maybe"": 3, ""no"": 18, ""yes"": 13}, ""yes"": {""maybe"": 2, ""no"": 8, ""yes"": 46}}"
runs\qwen05b_full45k_seed43_pubmedqa_test100.jsonl,100,100,0,0.61,0.4861178037648625,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 16, ""no"": 21, ""yes"": 63}",yes,0.63,0.8301667569974417,,False,"{""maybe"": {""maybe"": 2, ""no"": 2, ""yes"": 6}, ""no"": {""maybe"": 4, ""no"": 16, ""yes"": 14}, ""yes"": {""maybe"": 10, ""no"": 3, ""yes"": 43}}"
runs\qwen05b_full45k_seed44_pubmedqa_test100.jsonl,100,100,0,0.7,0.565442561205273,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 6, ""no"": 32, ""yes"": 62}",yes,0.62,0.755321798936497,,False,"{""maybe"": {""maybe"": 2, ""no"": 2, ""yes"": 6}, ""no"": {""maybe"": 2, ""no"": 22, ""yes"": 10}, ""yes"": {""maybe"": 2, ""no"": 8, ""yes"": 46}}"
runs\qwen05b_full45k_seed42_medmcqa_val1000.jsonl,1000,1000,0,0.381,0.3631417898377945,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 372, ""B"": 318, ""C"": 127, ""D"": 183}",A,0.372,0.9413922007617147,,False,"{""A"": {""A"": 162, ""B"": 90, ""C"": 25, ""D"": 46}, ""B"": {""A"": 99, ""B"": 107, ""C"": 27, ""D"": 34}, ""C"": {""A"": 58, ""B"": 70, ""C"": 50, ""D"": 41}, ""D"": {""A"": 53, ""B"": 51, ""C"": 25, ""D"": 62}}"
runs\qwen05b_full45k_seed43_medmcqa_val1000.jsonl,1000,1000,0,0.432,0.412190749038499,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 432, ""B"": 244, ""C"": 161, ""D"": 163}",A,0.432,0.9352263334230028,,False,"{""A"": {""A"": 200, ""B"": 62, ""C"": 31, ""D"": 30}, ""B"": {""A"": 108, ""B"": 94, ""C"": 33, ""D"": 32}, ""C"": {""A"": 58, ""B"": 50, ""C"": 74, ""D"": 37}, ""D"": {""A"": 66, ""B"": 38, ""C"": 23, ""D"": 64}}"
runs\qwen05b_full45k_seed44_medmcqa_val1000.jsonl,1000,1000,0,0.429,0.41670260656646224,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 372, ""B"": 291, ""C"": 167, ""D"": 170}",A,0.372,0.9573717030785064,,False,"{""A"": {""A"": 181, ""B"": 78, ""C"": 32, ""D"": 32}, ""B"": {""A"": 92, ""B"": 103, ""C"": 36, ""D"": 36}, ""C"": {""A"": 46, ""B"": 68, ""C"": 74, ""D"": 31}, ""D"": {""A"": 53, ""B"": 42, ""C"": 25, ""D"": 71}}"
runs\qwen05b_full45k_seed42_medqa_test1273.jsonl,1273,1273,0,0.36370777690494893,0.3538220826728169,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 299, ""B"": 447, ""C"": 307, ""D"": 220}",B,0.3511390416339356,0.9768098752977934,,False,"{""A"": {""A"": 118, ""B"": 105, ""C"": 69, ""D"": 61}, ""B"": {""A"": 50, ""B"": 158, ""C"": 55, ""D"": 46}, ""C"": {""A"": 67, ""B"": 97, ""C"": 128, ""D"": 54}, ""D"": {""A"": 64, ""B"": 87, ""C"": 55, ""D"": 59}}"
runs\qwen05b_full45k_seed43_medqa_test1273.jsonl,1273,1273,0,0.394344069128044,0.3860680507685129,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 370, ""B"": 350, ""C"": 340, ""D"": 213}",A,0.2906520031421838,0.985279720007524,,False,"{""A"": {""A"": 153, ""B"": 79, ""C"": 71, ""D"": 50}, ""B"": {""A"": 70, ""B"": 134, ""C"": 65, ""D"": 40}, ""C"": {""A"": 77, ""B"": 69, ""C"": 146, ""D"": 54}, ""D"": {""A"": 70, ""B"": 68, ""C"": 58, ""D"": 69}}"
runs\qwen05b_full45k_seed44_medqa_test1273.jsonl,1273,1273,0,0.408483896307934,0.40171885132751955,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 298, ""B"": 417, ""C"": 349, ""D"": 209}",B,0.3275726630007855,0.9788032797683451,,False,"{""A"": {""A"": 131, ""B"": 95, ""C"": 81, ""D"": 46}, ""B"": {""A"": 50, ""B"": 160, ""C"": 60, ""D"": 39}, ""C"": {""A"": 66, ""B"": 83, ""C"": 151, ""D"": 46}, ""D"": {""A"": 51, ""B"": 79, ""C"": 57, ""D"": 78}}"
runs\qwen15b_base_pubmedqa_test100.jsonl,100,100,0,0.62,0.40582419944122067,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 5, ""no"": 10, ""yes"": 85}",yes,0.85,0.4716734178155153,,True,"{""maybe"": {""maybe"": 1, ""no"": 1, ""yes"": 8}, ""no"": {""maybe"": 4, ""no"": 7, ""yes"": 23}, ""yes"": {""no"": 2, ""yes"": 54}}"
runs\qwen15b_base_medmcqa_val1000.jsonl,1000,1000,0,0.436,0.4252392396482467,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 306, ""B"": 296, ""C"": 216, ""D"": 182}",A,0.306,0.9837755417942474,,False,"{""A"": {""A"": 155, ""B"": 73, ""C"": 41, ""D"": 54}, ""B"": {""A"": 66, ""B"": 127, ""C"": 36, ""D"": 38}, ""C"": {""A"": 49, ""B"": 54, ""C"": 90, ""D"": 26}, ""D"": {""A"": 36, ""B"": 42, ""C"": 49, ""D"": 64}}"
runs\qwen15b_base_medqa_test1273.jsonl,1273,1273,0,0.46975648075412413,0.4672944839070959,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 315, ""B"": 396, ""C"": 275, ""D"": 287}",B,0.3110761979575805,0.9923547059912341,,False,"{""A"": {""A"": 160, ""B"": 82, ""C"": 49, ""D"": 62}, ""B"": {""A"": 45, ""B"": 173, ""C"": 42, ""D"": 49}, ""C"": {""A"": 64, ""B"": 69, ""C"": 151, ""D"": 62}, ""D"": {""A"": 46, ""B"": 72, ""C"": 33, ""D"": 114}}"
runs\qwen15b_full45k_seed42_pubmedqa_test100.jsonl,100,100,0,0.68,0.5668181382417793,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 15, ""no"": 27, ""yes"": 58}",yes,0.58,0.8683953071754504,,False,"{""maybe"": {""maybe"": 3, ""no"": 1, ""yes"": 6}, ""no"": {""maybe"": 5, ""no"": 21, ""yes"": 8}, ""yes"": {""maybe"": 7, ""no"": 5, ""yes"": 44}}"
runs\qwen15b_full45k_seed43_pubmedqa_test100.jsonl,100,100,0,0.7,0.6301734631771151,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 22, ""no"": 28, ""yes"": 50}",yes,0.5,0.9431098590224678,,False,"{""maybe"": {""maybe"": 6, ""no"": 2, ""yes"": 2}, ""no"": {""maybe"": 4, ""no"": 23, ""yes"": 7}, ""yes"": {""maybe"": 12, ""no"": 3, ""yes"": 41}}"
runs\qwen15b_full45k_seed44_pubmedqa_test100.jsonl,100,100,0,0.69,0.5557172557172557,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 14, ""no"": 31, ""yes"": 55}",yes,0.55,0.8803222797973554,,False,"{""maybe"": {""maybe"": 2, ""no"": 3, ""yes"": 5}, ""no"": {""maybe"": 5, ""no"": 23, ""yes"": 6}, ""yes"": {""maybe"": 7, ""no"": 5, ""yes"": 44}}"
runs\qwen15b_full45k_seed42_medmcqa_val1000.jsonl,1000,1000,0,0.538,0.5276441707197839,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 377, ""B"": 261, ""C"": 186, ""D"": 176}",A,0.377,0.9644163534544012,,False,"{""A"": {""A"": 207, ""B"": 53, ""C"": 28, ""D"": 35}, ""B"": {""A"": 77, ""B"": 139, ""C"": 23, ""D"": 28}, ""C"": {""A"": 43, ""B"": 45, ""C"": 105, ""D"": 26}, ""D"": {""A"": 50, ""B"": 24, ""C"": 30, ""D"": 87}}"
runs\qwen15b_full45k_seed43_medmcqa_val1000.jsonl,1000,1000,0,0.551,0.5396864776628781,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 371, ""B"": 255, ""C"": 190, ""D"": 184}",A,0.371,0.969014514019695,,False,"{""A"": {""A"": 211, ""B"": 47, ""C"": 31, ""D"": 34}, ""B"": {""A"": 68, ""B"": 143, ""C"": 25, ""D"": 31}, ""C"": {""A"": 43, ""B"": 38, ""C"": 108, ""D"": 30}, ""D"": {""A"": 49, ""B"": 27, ""C"": 26, ""D"": 89}}"
runs\qwen15b_full45k_seed44_medmcqa_val1000.jsonl,1000,1000,0,0.528,0.5172362790636003,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 361, ""B"": 267, ""C"": 199, ""D"": 173}",A,0.361,0.9703479116629508,,False,"{""A"": {""A"": 200, ""B"": 61, ""C"": 32, ""D"": 30}, ""B"": {""A"": 70, ""B"": 138, ""C"": 26, ""D"": 33}, ""C"": {""A"": 47, ""B"": 36, ""C"": 108, ""D"": 28}, ""D"": {""A"": 44, ""B"": 32, ""C"": 33, ""D"": 82}}"
runs\qwen15b_full45k_seed42_medqa_test1273.jsonl,1273,1273,0,0.5278868813825609,0.5237820914918843,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 313, ""B"": 355, ""C"": 342, ""D"": 263}",B,0.2788688138256088,0.9954365316545526,,False,"{""A"": {""A"": 179, ""B"": 69, ""C"": 55, ""D"": 50}, ""B"": {""A"": 51, ""B"": 170, ""C"": 40, ""D"": 48}, ""C"": {""A"": 44, ""B"": 56, ""C"": 202, ""D"": 44}, ""D"": {""A"": 39, ""B"": 60, ""C"": 45, ""D"": 121}}"
