pair,n,labels,before_file,after_file,accuracy_before,accuracy_after,delta_accuracy,macro_f1_before,macro_f1_after,delta_macro_f1,before_correct_after_wrong,before_wrong_after_correct,mcnemar_p,dominant_before,dominant_after,dominant_rate_before,dominant_rate_after,delta_dominant_rate,entropy_before,entropy_after,delta_entropy,collapse_before,collapse_after
qwen05b_pubmedqa_s42,100,yes no maybe,runs\pubmedqa_qwen05b_base_test100.jsonl,runs\qwen05b_full45k_seed42_pubmedqa_test100.jsonl,0.21,0.64,0.43000000000000005,0.1741051701281485,0.4418423106947697,0.26773714056662123,11,54,6.027539034309403e-08,maybe,yes,0.83,0.66,-0.16999999999999993,0.4149655139758603,0.7127267535684876,0.2977612395926273,True,False
qwen05b_pubmedqa_s43,100,yes no maybe,runs\pubmedqa_qwen05b_base_test100.jsonl,runs\qwen05b_full45k_seed43_pubmedqa_test100.jsonl,0.21,0.61,0.4,0.1741051701281485,0.4861178037648625,0.31201263363671405,9,49,8.959402428981857e-08,maybe,yes,0.83,0.63,-0.19999999999999996,0.4149655139758603,0.8301667569974417,0.4152012430215814,True,False
qwen05b_pubmedqa_s44,100,yes no maybe,runs\pubmedqa_qwen05b_base_test100.jsonl,runs\qwen05b_full45k_seed44_pubmedqa_test100.jsonl,0.21,0.7,0.49,0.1741051701281485,0.565442561205273,0.3913373910771245,8,57,3.163243188436873e-10,maybe,yes,0.83,0.62,-0.20999999999999996,0.4149655139758603,0.755321798936497,0.3403562849606367,True,False
qwen05b_medmcqa_s42,1000,A B C D,runs\qwen05b_base_medmcqa_val1000.jsonl,runs\qwen05b_full45k_seed42_medmcqa_val1000.jsonl,0.317,0.381,0.064,0.1672272894314056,0.3631417898377945,0.1959145004063889,152,216,0.0009966999586195984,A,A,0.884,0.372,-0.512,0.2702990997035727,0.9413922007617147,0.671093101058142,True,False
qwen05b_medmcqa_s43,1000,A B C D,runs\qwen05b_base_medmcqa_val1000.jsonl,runs\qwen05b_full45k_seed43_medmcqa_val1000.jsonl,0.317,0.432,0.11499999999999999,0.1672272894314056,0.412190749038499,0.2449634596070934,119,234,9.301865668209516e-10,A,A,0.884,0.432,-0.452,0.2702990997035727,0.9352263334230028,0.6649272337194301,True,False
qwen05b_medmcqa_s44,1000,A B C D,runs\qwen05b_base_medmcqa_val1000.jsonl,runs\qwen05b_full45k_seed44_medmcqa_val1000.jsonl,0.317,0.429,0.11199999999999999,0.1672272894314056,0.41670260656646224,0.24947531713505663,133,245,8.909226263010382e-09,A,A,0.884,0.372,-0.512,0.2702990997035727,0.9573717030785064,0.6870726033749337,True,False
qwen05b_medqa_s42,1273,A B C D,runs\qwen05b_base_medqa_test1273.jsonl,runs\qwen05b_full45k_seed42_medqa_test1273.jsonl,0.2875098193244305,0.36370777690494893,0.07619795758051845,0.17116915747757375,0.3538220826728169,0.18265292519524315,237,334,5.6626772035214895e-05,A,B,0.8334642576590731,0.3511390416339356,-0.48232521602513745,0.35560809696468115,0.9768098752977934,0.6212017783331123,True,False
qwen05b_medqa_s43,1273,A B C D,runs\qwen05b_base_medqa_test1273.jsonl,runs\qwen05b_full45k_seed43_medqa_test1273.jsonl,0.2875098193244305,0.394344069128044,0.1068342498036135,0.17116915747757375,0.3860680507685129,0.21489889329093917,206,342,6.797912887189401e-09,A,A,0.8334642576590731,0.2906520031421838,-0.5428122545168892,0.35560809696468115,0.985279720007524,0.6296716230428427,True,False
qwen05b_medqa_s44,1273,A B C D,runs\qwen05b_base_medqa_test1273.jsonl,runs\qwen05b_full45k_seed44_medqa_test1273.jsonl,0.2875098193244305,0.408483896307934,0.12097407698350354,0.17116915747757375,0.40171885132751955,0.2305496938499458,223,377,3.3862040140855684e-10,A,B,0.8334642576590731,0.3275726630007855,-0.5058915946582876,0.35560809696468115,0.9788032797683451,0.6231951828036639,True,False
qwen15b_pubmedqa_s42,100,yes no maybe,runs\qwen15b_base_pubmedqa_test100.jsonl,runs\qwen15b_full45k_seed42_pubmedqa_test100.jsonl,0.62,0.68,0.06000000000000005,0.40582419944122067,0.5668181382417793,0.16099393880055862,12,18,0.36159460805356514,yes,yes,0.85,0.58,-0.27,0.4716734178155153,0.8683953071754504,0.39672188935993513,True,False
qwen15b_pubmedqa_s43,100,yes no maybe,runs\qwen15b_base_pubmedqa_test100.jsonl,runs\qwen15b_full45k_seed43_pubmedqa_test100.jsonl,0.62,0.7,0.07999999999999996,0.40582419944122067,0.6301734631771151,0.22434926373589442,14,22,0.24298495403490966,yes,yes,0.85,0.5,-0.35,0.4716734178155153,0.9431098590224678,0.4714364412069525,True,False
qwen15b_pubmedqa_s44,100,yes no maybe,runs\qwen15b_base_pubmedqa_test100.jsonl,runs\qwen15b_full45k_seed44_pubmedqa_test100.jsonl,0.62,0.69,0.06999999999999995,0.40582419944122067,0.5557172557172557,0.14989305627603505,13,20,0.296206368599087,yes,yes,0.85,0.55,-0.29999999999999993,0.4716734178155153,0.8803222797973554,0.40864886198184014,True,False
qwen15b_medmcqa_s42,1000,A B C D,runs\qwen15b_base_medmcqa_val1000.jsonl,runs\qwen15b_full45k_seed42_medmcqa_val1000.jsonl,0.436,0.538,0.10200000000000004,0.4252392396482467,0.5276441707197839,0.10240493107153714,75,177,1.1132032297669494e-10,A,A,0.306,0.377,0.07100000000000001,0.9837755417942474,0.9644163534544012,-0.01935918833984618,False,False
qwen15b_medmcqa_s43,1000,A B C D,runs\qwen15b_base_medmcqa_val1000.jsonl,runs\qwen15b_full45k_seed43_medmcqa_val1000.jsonl,0.436,0.551,0.11500000000000005,0.4252392396482467,0.5396864776628781,0.11444723801463141,73,188,7.243873286652204e-13,A,A,0.306,0.371,0.065,0.9837755417942474,0.969014514019695,-0.01476102777455246,False,False
qwen15b_medmcqa_s44,1000,A B C D,runs\qwen15b_base_medmcqa_val1000.jsonl,runs\qwen15b_full45k_seed44_medmcqa_val1000.jsonl,0.436,0.528,0.09200000000000003,0.4252392396482467,0.5172362790636003,0.09199703941535353,79,171,5.879884582604963e-09,A,A,0.306,0.361,0.05499999999999999,0.9837755417942474,0.9703479116629508,-0.013427630131296664,False,False
