Comparison,Before Acc.,After Acc.,Delta Acc.,McNemar p,Before Collapse,After Collapse
0.5B PubMedQA seed42,0.2100,0.6400,+0.4300,6.03e-08,True,False
0.5B PubMedQA seed43,0.2100,0.6100,+0.4000,8.96e-08,True,False
0.5B PubMedQA seed44,0.2100,0.7000,+0.4900,3.16e-10,True,False
0.5B MedMCQA seed42,0.3170,0.3810,+0.0640,0.0010,True,False
0.5B MedMCQA seed43,0.3170,0.4320,+0.1150,9.30e-10,True,False
0.5B MedMCQA seed44,0.3170,0.4290,+0.1120,8.91e-09,True,False
0.5B MedQA seed42,0.2875,0.3637,+0.0762,5.66e-05,True,False
0.5B MedQA seed43,0.2875,0.3943,+0.1068,6.80e-09,True,False
0.5B MedQA seed44,0.2875,0.4085,+0.1210,3.39e-10,True,False
1.5B PubMedQA seed42,0.6200,0.6800,+0.0600,0.3616,True,False
1.5B PubMedQA seed43,0.6200,0.7000,+0.0800,0.2430,True,False
1.5B PubMedQA seed44,0.6200,0.6900,+0.0700,0.2962,True,False
1.5B MedMCQA seed42,0.4360,0.5380,+0.1020,1.11e-10,False,False
1.5B MedMCQA seed43,0.4360,0.5510,+0.1150,7.24e-13,False,False
1.5B MedMCQA seed44,0.4360,0.5280,+0.0920,5.88e-09,False,False
1.5B MedQA seed42,0.4698,0.5279,+0.0581,9.90e-05,False,False
1.5B MedQA seed43,0.4698,0.5467,+0.0770,9.06e-08,False,False
1.5B MedQA seed44,0.4698,0.5302,+0.0605,3.60e-05,False,False
3B PubMedQA seed42,0.2300,0.6100,+0.3800,3.24e-08,True,False
3B PubMedQA seed43,0.2300,0.6700,+0.4400,3.71e-11,True,False
3B PubMedQA seed44,0.2300,0.6500,+0.4200,1.28e-09,True,False
3B MedMCQA seed42,0.4900,0.5830,+0.0930,1.20e-09,False,False
3B MedMCQA seed43,0.4900,0.5810,+0.0910,1.18e-09,False,False
3B MedMCQA seed44,0.4900,0.5860,+0.0960,4.91e-11,False,False
3B MedQA seed42,0.4965,0.5648,+0.0683,3.70e-08,False,False
3B MedQA seed43,0.4965,0.5640,+0.0676,2.27e-07,False,False
3B MedQA seed44,0.4965,0.5679,+0.0715,6.85e-08,False,False
