task,model,condition,family,label,support,n_runs,seeds,pred_count_mean,pred_count_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
medmcqa,qwen05b,base,frozen_baseline,A,323,1,,884.0,0.0,0.3269230769230769,0.0,0.8947368421052632,0.0,0.4788732394366197,0.0
medmcqa,qwen05b,base,frozen_baseline,B,267,1,,1.0,0.0,1.0,0.0,0.003745318352059925,0.0,0.007462686567164179,0.0
medmcqa,qwen05b,base,frozen_baseline,C,219,1,,2.0,0.0,1.0,0.0,0.0091324200913242,0.0,0.01809954751131222,0.0
medmcqa,qwen05b,base,frozen_baseline,D,191,1,,113.0,0.0,0.22123893805309736,0.0,0.13089005235602094,0.0,0.16447368421052633,0.0
medmcqa,qwen05b,full45k,self_update,A,323,3,42 43 44,392.0,34.64101615137755,0.46166865790521705,0.02556222193734928,0.5603715170278638,0.05882352941176472,0.5056172280718472,0.03443873131398512
medmcqa,qwen05b,full45k,self_update,B,267,3,42 43 44,284.3333333333333,37.44774136491189,0.3585585930316974,0.02470816967466064,0.37952559300873906,0.02493755849617748,0.3676312198627709,0.0016985906132070256
medmcqa,qwen05b,full45k,self_update,C,219,3,42 43 44,151.66666666666666,21.571586249817916,0.4321472963497371,0.03430415319981154,0.3013698630136986,0.06327126237694529,0.35397023812338657,0.05633224515089241
medmcqa,qwen05b,full45k,self_update,D,191,3,42 43 44,172.0,10.14889156509222,0.38302763661366523,0.04029355640882694,0.343804537521815,0.024742490189804227,0.36216150786566964,0.030904575584477883
medmcqa,qwen15b,base,frozen_baseline,A,323,1,,306.0,0.0,0.5065359477124183,0.0,0.47987616099071206,0.0,0.492845786963434,0.0
medmcqa,qwen15b,base,frozen_baseline,B,267,1,,296.0,0.0,0.42905405405405406,0.0,0.4756554307116105,0.0,0.45115452930728245,0.0
medmcqa,qwen15b,base,frozen_baseline,C,219,1,,216.0,0.0,0.4166666666666667,0.0,0.410958904109589,0.0,0.41379310344827586,0.0
medmcqa,qwen15b,base,frozen_baseline,D,191,1,,182.0,0.0,0.3516483516483517,0.0,0.33507853403141363,0.0,0.3431635388739947,0.0
medmcqa,qwen15b,full45k,self_update,A,323,3,42 43 44,369.6666666666667,8.082903768654761,0.5572737973915215,0.010227457970472562,0.6377708978328174,0.01723766056603719,0.5947643524437094,0.011990142363645397
medmcqa,qwen15b,full45k,self_update,B,267,3,42 43 44,261.0,6.0,0.5367350987060631,0.022259808411417774,0.5243445692883896,0.00990918094031678,0.5304206014686449,0.015883670555669964
medmcqa,qwen15b,full45k,self_update,C,219,3,42 43 44,191.66666666666666,6.658328118479393,0.5585502498343443,0.013853247978027578,0.4885844748858447,0.007908907797118161,0.5211274298049917,0.006117959445919856
medmcqa,qwen15b,full45k,self_update,D,191,3,42 43 44,177.66666666666666,5.686240703077327,0.4840007577661511,0.01016830490868914,0.450261780104712,0.018877231808711974,0.466443519544337,0.013767436583920732
medmcqa,qwen3b,base,frozen_baseline,A,323,1,,291.0,0.0,0.5807560137457045,0.0,0.5232198142414861,0.0,0.5504885993485342,0.0
medmcqa,qwen3b,base,frozen_baseline,B,267,1,,271.0,0.0,0.4797047970479705,0.0,0.4868913857677903,0.0,0.483271375464684,0.0
medmcqa,qwen3b,base,frozen_baseline,C,219,1,,163.0,0.0,0.5644171779141104,0.0,0.4200913242009132,0.0,0.4816753926701571,0.0
medmcqa,qwen3b,base,frozen_baseline,D,191,1,,275.0,0.0,0.36,0.0,0.518324607329843,0.0,0.424892703862661,0.0
medmcqa,qwen3b,full45k,self_update,A,323,3,42 43 44,351.0,7.211102550927978,0.6116340791487659,0.007974916762972155,0.6646026831785345,0.012512234935998057,0.6369744974511249,0.007829259498590724
medmcqa,qwen3b,full45k,self_update,B,267,3,42 43 44,276.0,9.16515138991168,0.5411631723954734,0.005245654034003536,0.5593008739076155,0.014179546431461352,0.549980878194395,0.005241326609308633
medmcqa,qwen3b,full45k,self_update,C,219,3,42 43 44,199.33333333333334,7.023769168568493,0.6074595469255664,0.01893890424020655,0.5525114155251142,0.0045662100456621,0.5785640908977565,0.007966553258624042
medmcqa,qwen3b,full45k,self_update,D,191,3,42 43 44,173.66666666666666,10.263202878893768,0.5666594824489561,0.013331830369366058,0.5148342059336823,0.021159433949358004,0.5391949744845509,0.008743534613008355
medqa,qwen05b,base,frozen_baseline,A,353,1,,1061.0,0.0,0.293119698397738,0.0,0.8810198300283286,0.0,0.43988684582743987,0.0
medqa,qwen05b,base,frozen_baseline,B,309,1,,5.0,0.0,0.4,0.0,0.006472491909385114,0.0,0.012738853503184716,0.0
medqa,qwen05b,base,frozen_baseline,C,346,1,,7.0,0.0,0.42857142857142855,0.0,0.008670520231213872,0.0,0.016997167138810197,0.0
medqa,qwen05b,base,frozen_baseline,D,265,1,,200.0,0.0,0.25,0.0,0.18867924528301888,0.0,0.21505376344086022,0.0
medqa,qwen05b,full45k,self_update,A,353,3,42 43 44,322.3333333333333,41.28357219685977,0.41591988612706443,0.02257065728766973,0.37960339943342775,0.0501184306315981,0.3958858206677792,0.031160838117254123
medqa,qwen05b,full45k,self_update,B,309,3,42 43 44,404.6666666666667,49.66219219218311,0.37333924998064827,0.017214461507816546,0.48759439050701187,0.046823159469710246,0.42181251695207644,0.017365826688135712
medqa,qwen05b,full45k,self_update,C,346,3,42 43 44,332.0,22.11334438749598,0.42633821063401983,0.008301620155160975,0.4094412331406551,0.03496194087018122,0.4174083680742466,0.022416215770190717
medqa,qwen05b,full45k,self_update,D,265,3,42 43 44,214.0,5.5677643628300215,0.3217770739268145,0.0525454727047122,0.2591194968553459,0.0358656035959327,0.28703860733103026,0.04293167943522196
medqa,qwen15b,base,frozen_baseline,A,353,1,,315.0,0.0,0.5079365079365079,0.0,0.45325779036827196,0.0,0.47904191616766467,0.0
medqa,qwen15b,base,frozen_baseline,B,309,1,,396.0,0.0,0.43686868686868685,0.0,0.5598705501618123,0.0,0.4907801418439716,0.0
medqa,qwen15b,base,frozen_baseline,C,346,1,,275.0,0.0,0.5490909090909091,0.0,0.43641618497109824,0.0,0.4863123993558776,0.0
medqa,qwen15b,base,frozen_baseline,D,265,1,,287.0,0.0,0.397212543554007,0.0,0.43018867924528303,0.0,0.41304347826086957,0.0
medqa,qwen15b,full45k,self_update,A,353,3,42 43 44,322.0,13.892443989449804,0.5691073987952828,0.012398630379195237,0.5193578847969783,0.03158777843942918,0.5429278034935028,0.022167917366153114
medqa,qwen15b,full45k,self_update,B,309,3,42 43 44,350.6666666666667,9.291573243177568,0.5003340303257453,0.02237856195180146,0.5674217907227617,0.014947579784844695,0.5317063122862593,0.018407687877255705
